Symbol,Description,Category2,Category3,GICS Sector,Market cap,Dividend yield,Price to TTM earnings,Price to TTM sales,Price to book value,Action
ABMD,Abiomed Inc,Common stocks,Large cap,Health Care,"15,407,023,949.00  $",0%,79.23,18.95,12.59,Analyze
FMC,FMC Corp,Common stocks,Large cap,Materials,"15,368,883,227.00  $",2%,28.00,3.31,5.21,Analyze
NWS,News Corp Class B,Common stocks,Large cap,Communication Services,"15,294,420,080.00  $",1%,-5.63,1.75,0.60,Analyze
NWSA,News Corp Class A,Common stocks,Large cap,Communication Services,"15,294,420,080.00  $",1%,-11.87,1.71,1.26,Analyze
PKI,Perkinelmer Inc,Common stocks,Large cap,Health Care,"15,129,462,808.00  $",0%,20.61,2.44,4.02,Analyze
PHM,Pultegroup Inc,Common stocks,Large cap,Consumer Discretionary,"15,112,172,296.00  $",1%,11.03,1.37,2.36,Analyze
BEN,Franklin Resources Inc,Common stocks,Large cap,Financials,"15,071,139,885.00  $",4%,19.19,2.45,1.46,Analyze
WHR,Whirlpool Corp,Common stocks,Large cap,Consumer Discretionary,"14,989,860,160.00  $",2%,10.83,0.73,3.49,Analyze
DVN,Devon Energy Corp,Common stocks,Large cap,Energy,"14,986,231,863.00  $",2%,-6.07,3.10,5.64,Analyze
L,Loews Corp,Common stocks,Large cap,Financials,"14,837,106,762.00  $",0%,-15.89,1.09,0.83,Analyze
WYNN,Wynn Resorts Ltd,Common stocks,Large cap,Consumer Discretionary,"14,773,055,735.00  $",1%,-7.29,7.05,-42.80,Analyze
CPB,Campbell Soup,Common stocks,Large cap,Consumer Staples,"14,550,508,987.00  $",3%,17.84,1.10,4.93,Analyze
FBHS,Fortune Brands Home And Security,Common stocks,Large cap,Industrials,"14,550,166,134.00  $",1%,25.97,2.39,5.18,Analyze
MHK,Mohawk Industries Inc,Common stocks,Large cap,Consumer Discretionary,"14,543,264,633.00  $",0%,28.12,1.52,1.70,Analyze
PENN,Penn National Gaming Inc,Common stocks,Large cap,Consumer Discretionary,"14,506,101,914.00  $",0%,-21.71,4.05,5.47,Analyze
XRAY,Dentsply Sirona Inc,Common stocks,Large cap,Health Care,"14,457,232,361.00  $",1%,-172.95,4.33,2.89,Analyze
WRK,Westrock,Common stocks,Large cap,Materials,"14,366,939,698.00  $",1%,-21.35,0.82,1.32,Analyze
SJM,J.M. Smucker,Common stocks,Large cap,Consumer Staples,"14,360,099,645.00  $",3%,14.96,1.76,1.74,Analyze
FANG,Diamondback Energy Inc,Common stocks,Large cap,Energy,"14,355,471,617.00  $",2%,-3.35,5.10,1.72,Analyze
WRB,WR Berkley Corp,Common stocks,Large cap,Financials,"14,290,045,705.00  $",1%,18.30,1.69,2.18,Analyze
EVRG,Evergy Inc,Common stocks,Large cap,Utilities,"14,277,871,651.00  $",3%,23.22,2.91,1.64,Analyze
LDOS,Leidos Holdings Inc,Common stocks,Large cap,Industrials,"14,238,619,653.00  $",1%,22.42,0.67,3.65,Analyze
LUMN,"CenturyLink, Inc.",Common stocks,Large cap,Communication Services,"14,204,188,956.00  $",8%,-11.50,0.69,1.27,Analyze
AAL,American Airlines Group Inc,Common stocks,Large cap,Industrials,"13,956,496,756.00  $",0%,-1.76,1.09,-1.75,Analyze
HWM,Howmet Aerospace Inc.,Common stocks,Large cap,Industrials,"13,903,456,746.00  $",1%,53.83,2.64,3.90,Analyze
UDR,"UDR, Inc",REITs,Large cap,Real Estate,"13,890,947,148.00  $",3%,226.43,11.19,4.20,Analyze
LNT,Alliant Energy Corp,Common stocks,Large cap,Utilities,"13,886,802,088.00  $",3%,22.53,4.07,2.43,Analyze
TXT,Textron Inc,Common stocks,Large cap,Industrials,"13,883,284,103.00  $",0%,45.35,0.71,2.40,Analyze
LKQ,LKQ Corp,Common stocks,Large cap,Consumer Discretionary,"13,793,132,551.00  $",0%,21.56,1.19,2.43,Analyze
PKG,Packaging Corp Of America,Common stocks,Large cap,Materials,"13,752,496,074.00  $",2%,29.28,2.07,4.25,Analyze
PWR,Quanta Services Inc,Common stocks,Large cap,Industrials,"13,691,886,002.00  $",0%,30.62,1.22,3.14,Analyze
HAS,Hasbro Inc,Common stocks,Large cap,Consumer Discretionary,"13,528,943,976.00  $",3%,60.58,2.48,4.61,Analyze
MOS,Mosaic,Common stocks,Large cap,Materials,"13,497,743,412.00  $",1%,20.61,1.55,1.43,Analyze
RE,Everest Re Group Ltd,Common stocks,Large cap,Financials,"13,320,261,457.00  $",2%,25.78,1.41,1.36,Analyze
TPR,Tapestry,Common stocks,Large cap,Consumer Discretionary,"13,161,191,887.00  $",1%,-30.82,2.83,4.57,Analyze
CNP,Centerpoint Energy Inc,Common stocks,Large cap,Utilities,"13,133,142,086.00  $",3%,-13.91,1.77,1.58,Analyze
NLOK,NortonLifeLock Inc.,Common stocks,Large cap,Information Technology,"13,078,217,064.00  $",2%,21.80,10.54,-26.19,Analyze
ATO,Atmos Energy Corp,Common stocks,Large cap,Utilities,"13,005,747,329.00  $",2%,20.07,4.55,1.78,Analyze
SNA,Snap On Inc,Common stocks,Large cap,Industrials,"12,962,972,165.00  $",2%,18.80,2.01,3.31,Analyze
AAP,Advance Auto Parts Inc,Common stocks,Large cap,Consumer Discretionary,"12,926,657,578.00  $",1%,26.27,0.72,3.64,Analyze
GPS,Gap Inc,Common stocks,Large cap,Consumer Discretionary,"12,896,949,511.00  $",1%,-19.32,0.93,4.91,Analyze
CHRW,"C.H. Robinson Worldwide, Inc.",Common stocks,Large cap,Industrials,"12,667,031,376.00  $",2%,24.25,0.78,6.53,Analyze
HST,"Host Hotels & Resorts, Inc",REITs,Large cap,Real Estate,"12,661,293,655.00  $",1%,-17.61,7.82,2.04,Analyze
FFIV,F5 Networks Inc,Common stocks,Large cap,Information Technology,"12,659,379,173.00  $",0%,38.81,5.26,4.79,Analyze
JKHY,"Jack Henry & Associates, Inc.",Common stocks,Large cap,Information Technology,"12,439,394,254.00  $",1%,41.70,7.26,8.05,Analyze
UHS,Universal Health Services Inc.,Common stocks,Large cap,Health Care,"12,399,315,072.00  $",0%,12.19,1.07,1.82,Analyze
ALLE,Allegion PLC,Common stocks,Large cap,Industrials,"12,385,485,052.00  $",1%,29.11,4.52,16.88,Analyze
LNC,Lincoln National Corp,Common stocks,Large cap,Financials,"12,338,678,213.00  $",3%,24.82,0.71,0.55,Analyze
IPGP,IPG Photonics Corp,Common stocks,Large cap,Information Technology,"12,310,049,480.00  $",0%,77.12,10.25,4.75,Analyze
IVZ,Invesco Ltd,Common stocks,Large cap,Financials,"12,145,245,020.00  $",2%,23.82,1.98,0.87,Analyze
DVA,Davita Inc,Common stocks,Large cap,Health Care,"11,978,989,601.00  $",0%,15.61,1.04,8.73,Analyze
BWA,BorgWarner Inc,Common stocks,Large cap,Consumer Discretionary,"11,977,345,116.00  $",1%,24.12,1.18,1.88,Analyze
GL,Globe Life Inc.,Common stocks,Large cap,Financials,"11,907,305,842.00  $",1%,15.93,2.44,1.35,Analyze
LW,Lamb Weston Holdings Inc,Common stocks,Large cap,Consumer Staples,"11,769,885,042.00  $",1%,46.49,3.35,25.80,Analyze
IPG,Interpublic Group Of Companies Inc,Common stocks,Large cap,Communication Services,"11,657,829,401.00  $",3%,34.64,1.29,4.20,Analyze
IRM,Iron Mountain Incorporated,REITs,Large cap,Real Estate,"11,560,075,687.00  $",6%,33.30,2.79,10.04,Analyze
NWL,Newell Brands Inc,Common stocks,Large cap,Consumer Discretionary,"11,449,912,727.00  $",3%,-14.73,1.22,2.93,Analyze
TAP,Molson Coors Brewing Class B,Common stocks,Large cap,Consumer Staples,"11,298,009,556.00  $",1%,-10.95,1.05,0.84,Analyze
CBOE,"Cboe Global Markets, Inc.",Common stocks,Large cap,Financials,"11,136,913,074.00  $",2%,23.56,3.25,3.28,Analyze
AOS,A O Smith Corp,Common stocks,Large cap,Industrials,"10,998,791,440.00  $",1%,26.15,3.80,4.88,Analyze
WU,Western Union,Common stocks,Large cap,Information Technology,"10,749,880,043.00  $",3%,14.45,2.22,57.65,Analyze
REG,Regency Centers Corporation,REITs,Large cap,Real Estate,"10,694,129,296.00  $",4%,110.53,10.52,1.78,Analyze
PNR,Pentair,Common stocks,Large cap,Industrials,"10,650,204,423.00  $",1%,25.79,3.36,4.87,Analyze
CF,CF Industries Holdings Inc,Common stocks,Large cap,Materials,"10,506,287,916.00  $",2%,33.53,2.55,3.64,Analyze
HSIC,Henry Schein Inc,Common stocks,Large cap,Health Care,"10,405,517,505.00  $",0%,25.62,1.03,3.09,Analyze
RHI,Robert Half,Common stocks,Large cap,Industrials,"10,043,469,276.00  $",2%,30.28,2.01,8.27,Analyze
NI,Nisource Inc,Common stocks,Large cap,Utilities,"10,022,839,375.00  $",3%,-138.14,2.14,1.75,Analyze
