Symbol,Description,Category2,Category3,GICS Sector,Market cap,Dividend yield,Price to TTM earnings,Price to TTM sales,Price to book value,Action
AAPL,Apple Inc,Common stocks,Large cap,Information Technology,"2,256,152,221,440.00  $",1%,35.08,7.67,33.86,Analyze
MSFT,Microsoft Corp,Common stocks,Large cap,Information Technology,"1,975,834,264,481.00  $",1%,37.42,12.89,14.74,Analyze
AMZN,Amazon.Com Inc.,Common stocks,Large cap,Consumer Discretionary,"1,722,783,298,278.00  $",0%,81.73,4.46,18.67,Analyze
GOOG,Alphabet Inc Class C,Common stocks,Large cap,Communication Services,"1,557,700,535,977.00  $",0%,19.18,8.53,3.47,Analyze
GOOGL,Alphabet Inc Class A,Common stocks,Large cap,Communication Services,"1,557,700,535,977.00  $",0%,17.62,8.53,3.19,Analyze
FB,Facebook Inc Class A,Common stocks,Large cap,Communication Services,"866,388,818,857.00  $",0%,25.30,10.08,5.75,Analyze
TSLA,Tesla Inc,Common stocks,Large cap,Consumer Discretionary,"676,447,158,409.00  $",0%,965.98,21.45,29.99,Analyze
BRK.B,Berkshire Hathaway Inc.,Common stocks,Large cap,Financials,"628,535,013,046.00  $",0%,8.57,1.76,0.82,Analyze
V,Visa Inc Class A,Common stocks,Large cap,Information Technology,"506,721,640,000.00  $",1%,36.94,23.59,10.51,Analyze
JPM,JP Morgan Chase & Co,Common stocks,Large cap,Financials,"458,606,360,561.00  $",2%,11.89,3.71,1.64,Analyze
JNJ,Johnson & Johnson,Common stocks,Large cap,Health Care,"429,605,058,093.00  $",2%,28.21,5.10,6.74,Analyze
WMT,Walmart Stores Inc,Common stocks,Large cap,Consumer Staples,"389,465,042,191.00  $",2%,28.73,0.70,4.77,Analyze
MA,Mastercard Inc Class A,Common stocks,Large cap,Information Technology,"383,291,109,830.00  $",0%,60.80,25.05,60.99,Analyze
NVDA,Nvidia Corp,Common stocks,Large cap,Information Technology,"382,933,966,801.00  $",0%,87.79,22.96,22.51,Analyze
UNH,Unitedhealth Group Inc,Common stocks,Large cap,Health Care,"372,364,048,361.00  $",1%,22.06,1.42,5.37,Analyze
HD,Home Depot Inc,Common stocks,Large cap,Consumer Discretionary,"344,705,937,450.00  $",2%,27.52,3.54,223.95,Analyze
BAC,Bank of America Corp,Common stocks,Large cap,Financials,"344,054,831,774.00  $",2%,16.85,3.97,1.26,Analyze
DIS,Walt Disney,Common stocks,Large cap,Communication Services,"335,170,326,311.00  $",0%,-67.20,5.52,3.96,Analyze
PG,Procter & Gamble,Common stocks,Large cap,Consumer Staples,"321,159,176,867.00  $",2%,19.97,4.29,6.90,Analyze
PYPL,Paypal Holdings Inc,Common stocks,Large cap,Information Technology,"315,664,925,354.00  $",0%,75.76,14.71,15.90,Analyze
CMCSA,Comcast A Corp,Common stocks,Large cap,Communication Services,"248,957,073,726.00  $",2%,23.55,2.40,2.75,Analyze
ADBE,Adobe Inc,Common stocks,Large cap,Information Technology,"247,278,960,000.00  $",0%,44.27,18.07,18.19,Analyze
XOM,Exxon Mobil Corp,Common stocks,Large cap,Energy,"238,813,019,286.00  $",6%,-10.96,1.34,1.57,Analyze
INTC,Intel Corporation Corp,Common stocks,Large cap,Information Technology,"234,082,860,000.00  $",2%,12.51,3.01,2.92,Analyze
VZ,Verizon Communications Inc,Common stocks,Large cap,Communication Services,"233,164,800,000.00  $",4%,12.37,1.80,3.28,Analyze
KO,Coca-Cola,Common stocks,Large cap,Consumer Staples,"230,892,919,600.00  $",3%,32.00,6.91,11.35,Analyze
NFLX,Netflix Inc,Common stocks,Large cap,Communication Services,"223,349,466,294.00  $",0%,59.53,8.46,17.37,Analyze
T,AT&T Inc.,Common stocks,Large cap,Communication Services,"219,444,362,772.00  $",7%,-90.23,1.27,1.33,Analyze
ORCL,Oracle Corp,Common stocks,Large cap,Information Technology,"216,899,502,700.00  $",1%,16.80,5.46,24.22,Analyze
CSCO,Cisco Systems Inc,Common stocks,Large cap,Information Technology,"216,873,123,549.00  $",3%,21.30,4.52,5.52,Analyze
CRM,Salesforce.Com Inc,Common stocks,Large cap,Information Technology,"215,707,410,000.00  $",0%,53.58,10.15,5.26,Analyze
ABT,Abbott Laboratories,Common stocks,Large cap,Health Care,"215,595,122,869.00  $",1%,37.59,5.77,6.56,Analyze
PFE,Pfizer Inc,Common stocks,Large cap,Health Care,"214,459,853,929.00  $",4%,22.51,5.12,3.42,Analyze
NKE,Nike Inc Class B,Common stocks,Large cap,Consumer Discretionary,"207,390,243,414.00  $",1%,48.61,5.39,13.97,Analyze
CVX,Chevron Corp,Common stocks,Large cap,Energy,"198,011,677,683.00  $",5%,-36.60,2.10,1.54,Analyze
PEP,Pepsico Inc,Common stocks,Large cap,Consumer Staples,"197,421,291,313.00  $",3%,26.14,2.77,14.05,Analyze
ABBV,Abbvie Inc,Common stocks,Large cap,Health Care,"196,672,187,709.00  $",4%,42.79,4.29,15.11,Analyze
MRK,Merck & Co Inc,Common stocks,Large cap,Health Care,"195,750,794,406.00  $",3%,27.60,4.08,7.71,Analyze
ACN,Accenture Plc Class A,Common stocks,Large cap,Information Technology,"193,049,549,802.00  $",1%,35.38,4.23,10.55,Analyze
TMO,Thermo Fisher Scientific Inc,Common stocks,Large cap,Health Care,"192,664,821,192.00  $",0%,29.95,5.98,5.53,Analyze
AVGO,Broadcom Inc.,Common stocks,Large cap,Information Technology,"190,411,789,730.00  $",3%,51.28,7.71,7.82,Analyze
WFC,Wells Fargo,Common stocks,Large cap,Financials,"186,408,570,771.00  $",2%,30.90,2.56,1.00,Analyze
DHR,Danaher Corp,Common stocks,Large cap,Health Care,"184,040,213,005.00  $",0%,40.11,7.42,4.56,Analyze
MCD,Mcdonalds Corp,Common stocks,Large cap,Consumer Discretionary,"175,317,971,047.00  $",2%,36.66,9.13,-22.16,Analyze
MDT,Medtronic Plc,Common stocks,Large cap,Health Care,"175,209,027,925.00  $",2%,61.16,6.27,3.48,Analyze
TXN,Texas Instrument Inc,Common stocks,Large cap,Information Technology,"175,038,696,520.00  $",2%,29.90,12.10,18.21,Analyze
LLY,Eli Lilly,Common stocks,Large cap,Health Care,"174,737,961,291.00  $",2%,27.96,7.12,30.69,Analyze
UPS,United Parcel Service Inc Class B,Common stocks,Large cap,Industrials,"167,805,972,000.00  $",2%,106.43,1.98,217.55,Analyze
TMUS,T Mobile US Inc,Common stocks,Large cap,Communication Services,"165,725,847,894.00  $",0%,53.75,2.42,2.52,Analyze
COST,Costco Wholesale Corp,Common stocks,Large cap,Consumer Staples,"163,830,432,545.00  $",1%,37.65,0.92,10.45,Analyze
QCOM,Qualcomm Inc,Common stocks,Large cap,Information Technology,"156,779,360,000.00  $",2%,23.06,5.87,21.02,Analyze
HON,Honeywell International Inc,Common stocks,Large cap,Industrials,"154,837,280,577.00  $",2%,33.47,4.75,8.61,Analyze
MS,Morgan Stanley,Common stocks,Large cap,Financials,"153,309,330,460.00  $",2%,12.00,2.99,1.52,Analyze
C,Citigroup Inc,Common stocks,Large cap,Financials,"152,307,249,168.00  $",3%,9.80,2.08,0.75,Analyze
LIN,Linde Plc,Common stocks,Large cap,Materials,"151,732,358,899.00  $",1%,60.03,5.57,3.17,Analyze
NEE,Nextera Energy Inc,Common stocks,Large cap,Utilities,"151,396,925,891.00  $",2%,36.31,8.85,4.05,Analyze
UNP,Union Pacific Corp,Common stocks,Large cap,Industrials,"149,953,008,065.00  $",2%,28.81,7.77,9.24,Analyze
BMY,Bristol Myers Squibb,Common stocks,Large cap,Health Care,"147,349,886,659.00  $",3%,-16.36,3.47,3.90,Analyze
PM,Philip Morris International Inc,Common stocks,Large cap,Consumer Staples,"147,295,059,850.00  $",5%,16.98,5.06,-12.71,Analyze
AMGN,Amgen Inc,Common stocks,Large cap,Health Care,"146,904,485,957.00  $",3%,18.76,5.78,14.49,Analyze
LOW,Lowes Companies Inc,Common stocks,Large cap,Consumer Discretionary,"142,754,355,544.00  $",1%,24.16,2.88,97.85,Analyze
BA,Boeing,Common stocks,Large cap,Industrials,"141,359,248,644.00  $",1%,-11.56,2.43,-7.49,Analyze
CHTR,Charter Communications Inc Class A,Common stocks,Large cap,Communication Services,"140,685,275,005.00  $",0%,43.61,2.93,5.90,Analyze
SBUX,Starbucks Corp,Common stocks,Large cap,Consumer Discretionary,"136,743,395,000.00  $",1%,199.05,5.90,-16.73,Analyze
SCHW,Charles Schwab Corporation,Common stocks,Large cap,Financials,"130,859,126,743.00  $",1%,34.34,9.49,2.25,Analyze
IBM,International Business Machines Co,Common stocks,Large cap,Information Technology,"126,899,296,721.00  $",5%,23.80,1.72,5.97,Analyze
RTX,Raytheon Technologies Corporation,Common stocks,Large cap,Industrials,"125,827,984,277.00  $",2%,-35.87,1.98,1.75,Analyze
CAT,Caterpillar Inc,Common stocks,Large cap,Industrials,"125,605,288,118.00  $",2%,42.25,3.01,8.26,Analyze
AMAT,Applied Material Inc,Common stocks,Large cap,Information Technology,"125,517,648,601.00  $",1%,32.28,6.90,10.85,Analyze
BLK,Blackrock Inc,Common stocks,Large cap,Financials,"125,242,494,606.00  $",2%,23.40,7.41,3.53,Analyze
AXP,American Express,Common stocks,Large cap,Financials,"120,784,617,879.00  $",1%,24.49,4.54,5.01,Analyze
GS,Goldman Sachs Group Inc,Common stocks,Large cap,Financials,"119,862,699,353.00  $",1%,8.30,2.39,1.23,Analyze
DE,Deere & Company,Common stocks,Large cap,Industrials,"119,846,506,598.00  $",1%,34.43,3.26,8.45,Analyze
GE,General Electric,Common stocks,Large cap,Industrials,"118,504,945,943.00  $",0%,22.17,1.49,3.26,Analyze
EL,Estee Lauder Inc Class A,Common stocks,Large cap,Consumer Staples,"114,087,011,024.00  $",0%,78.11,8.04,13.37,Analyze
INTU,Intuit Inc,Common stocks,Large cap,Information Technology,"114,035,602,071.00  $",1%,65.18,14.78,12.84,Analyze
MMM,3M,Common stocks,Large cap,Industrials,"112,667,674,734.00  $",3%,21.09,3.50,8.82,Analyze
AMT,American Tower Corporation,REITs,Large cap,Real Estate,"112,299,128,934.00  $",2%,66.28,13.96,27.37,Analyze
NOW,Servicenow Inc,Common stocks,Large cap,Information Technology,"111,090,160,926.00  $",0%,928.47,24.58,38.82,Analyze
LMT,Lockheed Martin Corp,Common stocks,Large cap,Industrials,"103,730,521,882.00  $",3%,14.91,1.64,16.42,Analyze
AMD,Advanced Micro Devices Inc,Common stocks,Large cap,Information Technology,"103,496,714,704.00  $",0%,40.98,10.60,17.48,Analyze
ISRG,Intuitive Surgical Inc,Common stocks,Large cap,Health Care,"101,998,493,465.00  $",0%,87.67,22.41,10.13,Analyze
TGT,Target Corp,Common stocks,Large cap,Consumer Discretionary,"101,683,615,691.00  $",1%,42.50,0.00,7.05,Analyze
BKNG,Booking Holdings Inc,Common stocks,Large cap,Consumer Discretionary,"101,159,924,460.00  $",0%,"1,743.07",14.89,21.02,Analyze
MU,Micron Technology Inc,Common stocks,Large cap,Information Technology,"100,321,836,087.00  $",0%,30.18,4.27,2.37,Analyze
SYK,Stryker Corp,Common stocks,Large cap,Health Care,"99,737,289,921.00  $",1%,61.09,6.95,7.47,Analyze
CVS,CVS Health Corp,Common stocks,Large cap,Health Care,"98,495,868,492.00  $",3%,13.77,0.37,1.43,Analyze
FIS,Fidelity National Information Services,Common stocks,Large cap,Information Technology,"95,066,114,413.00  $",1%,608.06,7.57,1.95,Analyze
SPGI,S&P Global Inc,Common stocks,Large cap,Financials,"92,534,111,300.00  $",1%,39.14,12.43,179.87,Analyze
ANTM,Anthem Inc,Common stocks,Large cap,Health Care,"92,270,648,866.00  $",1%,19.49,0.74,2.71,Analyze
LRCX,Lam Research Corp,Common stocks,Large cap,Information Technology,"92,158,714,177.00  $",1%,26.35,6.94,16.96,Analyze
USB,US Bancorp,Common stocks,Large cap,Financials,"87,630,113,580.00  $",3%,15.52,4.01,1.71,Analyze
MO,Altria Group Inc,Common stocks,Large cap,Consumer Staples,"87,349,510,446.00  $",7%,19.56,4.19,30.78,Analyze
CI,Cigna Corp,Common stocks,Large cap,Health Care,"86,998,322,285.00  $",0%,10.15,0.54,1.71,Analyze
GM,General Motors,Common stocks,Large cap,Consumer Discretionary,"84,970,628,995.00  $",1%,13.51,0.69,1.87,Analyze
PLD,"Prologis, Inc",REITs,Large cap,Real Estate,"84,959,689,361.00  $",2%,63.09,18.43,2.66,Analyze
TJX,"TJX Companies, Inc.",Common stocks,Large cap,Consumer Discretionary,"84,176,723,799.00  $",0%,276.86,1.58,14.46,Analyze
ADP,Automatic Data Processing Inc,Common stocks,Large cap,Information Technology,"83,829,209,696.00  $",2%,32.18,5.75,13.54,Analyze
MDLZ,Mondelez International Inc,Common stocks,Large cap,Consumer Staples,"82,507,218,036.00  $",2%,24.06,3.10,3.10,Analyze
GILD,Gilead Sciences Inc,Common stocks,Large cap,Health Care,"81,423,154,301.00  $",4%,659.62,3.30,4.46,Analyze
FISV,Fiserv Inc,Common stocks,Large cap,Information Technology,"81,376,958,851.00  $",0%,86.17,5.48,2.55,Analyze
ZTS,Zoetis Inc,Common stocks,Large cap,Health Care,"80,628,798,131.00  $",1%,49.80,12.08,21.64,Analyze
CCI,Crown Castle International Corp.,REITs,Large cap,Real Estate,"79,842,267,023.00  $",3%,83.11,13.52,8.91,Analyze
TFC,Truist Financial Corporation,Common stocks,Large cap,Financials,"78,381,612,349.00  $",3%,17.49,3.65,1.17,Analyze
PNC,"PNC Financial Services Group, Inc.",Common stocks,Large cap,Financials,"77,841,681,921.00  $",2%,9.53,4.69,1.46,Analyze
CSX,CSX Corp,Common stocks,Large cap,Industrials,"77,194,230,015.00  $",1%,28.46,7.32,5.85,Analyze
FDX,FedEx Corporation,Common stocks,Large cap,Industrials,"76,288,499,983.00  $",1%,25.22,0.97,3.47,Analyze
DUK,Duke Energy Corp,Common stocks,Large cap,Utilities,"75,852,440,840.00  $",4%,59.19,3.18,1.58,Analyze
BDX,Becton Dickinson,Common stocks,Large cap,Health Care,"75,025,495,276.00  $",1%,49.62,4.12,3.03,Analyze
CB,Chubb Ltd,Common stocks,Large cap,Financials,"74,987,490,501.00  $",2%,20.90,2.08,1.24,Analyze
CME,CME Group Inc Class A,Common stocks,Large cap,Financials,"73,526,885,217.00  $",2%,34.29,15.06,2.74,Analyze
ITW,Illinois Tool Inc,Common stocks,Large cap,Industrials,"72,587,914,039.00  $",2%,34.51,5.77,22.88,Analyze
NSC,Norfolk Southern Corp,Common stocks,Large cap,Industrials,"71,585,669,995.00  $",1%,38.42,7.31,5.23,Analyze
ATVI,Activision Blizzard Inc,Common stocks,Large cap,Communication Services,"70,967,463,194.00  $",1%,32.18,8.78,4.70,Analyze
COP,ConocoPhillips,Common stocks,Large cap,Energy,"69,365,341,170.00  $",3%,-26.55,3.69,2.40,Analyze
ICE,Intercontinental Exchange Inc,Common stocks,Large cap,Financials,"68,217,582,913.00  $",1%,32.07,8.27,3.44,Analyze
SO,Southern Co,Common stocks,Large cap,Utilities,"68,168,010,914.00  $",4%,21.86,3.35,2.44,Analyze
MMC,Marsh & McLennan Inc,Common stocks,Large cap,Financials,"67,187,345,230.00  $",1%,33.78,3.90,7.48,Analyze
HCA,"HCA Healthcare, Inc.",Common stocks,Large cap,Health Care,"67,036,958,660.00  $",0%,14.55,1.27,270.76,Analyze
CL,Colgate-Palmolive,Common stocks,Large cap,Consumer Staples,"66,581,443,725.00  $",2%,24.77,4.04,89.85,Analyze
ADSK,Autodesk Inc,Common stocks,Large cap,Information Technology,"65,409,956,614.00  $",0%,54.39,17.26,68.06,Analyze
APD,Air Products And Chemicals Inc,Common stocks,Large cap,Materials,"64,123,829,953.00  $",2%,33.85,7.14,5.05,Analyze
EQIX,"Equinix, Inc.",REITs,Large cap,Real Estate,"63,945,451,199.00  $",2%,171.36,10.66,5.96,Analyze
GPN,Global Payments Inc,Common stocks,Large cap,Information Technology,"63,887,094,982.00  $",0%,109.99,8.61,2.35,Analyze
COF,Capital One Financial Corp,Common stocks,Large cap,Financials,"63,448,746,420.00  $",1%,27.76,2.28,1.09,Analyze
D,Dominion Energy Inc,Common stocks,Large cap,Utilities,"63,101,973,696.00  $",4%,-156.06,4.45,2.40,Analyze
ECL,Ecolab Inc,Common stocks,Large cap,Materials,"62,482,320,879.00  $",1%,-52.72,5.06,10.30,Analyze
MCO,Moodys Corp,Common stocks,Large cap,Financials,"61,085,692,762.00  $",1%,33.69,11.37,38.17,Analyze
ILMN,Illumina Inc,Common stocks,Large cap,Health Care,"60,371,131,524.00  $",0%,90.25,10.93,12.61,Analyze
BSX,Boston Scientific Corp,Common stocks,Large cap,Health Care,"60,244,117,530.00  $",0%,-546.47,6.08,4.10,Analyze
EW,Edwards Lifesciences Corp,Common stocks,Large cap,Health Care,"59,808,778,611.00  $",0%,70.74,13.37,12.92,Analyze
ADI,Analog Devices Inc,Common stocks,Large cap,Information Technology,"58,856,996,536.00  $",2%,40.96,10.05,4.76,Analyze
PGR,Progressive Corp,Common stocks,Large cap,Financials,"58,462,664,405.00  $",5%,9.08,1.31,3.29,Analyze
HUM,Humana Inc,Common stocks,Large cap,Health Care,"57,900,770,954.00  $",1%,16.81,0.75,4.12,Analyze
ETN,"Eaton Corporation, PLC",Common stocks,Large cap,Industrials,"57,599,370,368.00  $",2%,40.83,3.23,3.86,Analyze
WM,Waste Management Inc,Common stocks,Large cap,Industrials,"57,000,801,140.00  $",2%,38.43,3.75,7.72,Analyze
FCX,"Freeport-McMoRan, Inc.",Common stocks,Large cap,Materials,"56,665,351,405.00  $",0%,31.88,3.49,5.28,Analyze
NXPI,NXP Semiconductors Nv,Common stocks,Large cap,Information Technology,"56,086,904,612.00  $",1%,"1,053.41",6.51,6.12,Analyze
MET,Metlife Inc,Common stocks,Large cap,Financials,"56,035,534,706.00  $",3%,10.86,0.83,0.76,Analyze
VRTX,Vertex Pharmaceuticals Inc,Common stocks,Large cap,Health Care,"55,783,744,875.00  $",0%,20.38,8.99,6.36,Analyze
EMR,Emerson Electric,Common stocks,Large cap,Industrials,"55,298,734,572.00  $",2%,26.51,3.29,6.21,Analyze
NOC,Northrop Grumman Corp,Common stocks,Large cap,Industrials,"54,706,170,914.00  $",2%,17.08,1.49,5.15,Analyze
AON,Aon Plc,Common stocks,Large cap,Financials,"52,872,402,685.00  $",1%,27.38,3.15,15.43,Analyze
TWTR,Twitter Inc,Common stocks,Large cap,Communication Services,"52,720,336,344.00  $",0%,-46.21,14.19,6.58,Analyze
GD,General Dynamics Corp,Common stocks,Large cap,Industrials,"52,709,696,727.00  $",2%,16.59,1.55,3.35,Analyze
REGN,Regeneron Pharmaceuticals Inc,Common stocks,Large cap,Health Care,"51,479,837,974.00  $",0%,14.53,6.06,4.63,Analyze
NEM,Newmont Corporation,Common stocks,Large cap,Materials,"51,439,054,722.00  $",2%,18.18,4.47,2.24,Analyze
MNST,Monster Beverage Corp,Common stocks,Large cap,Consumer Staples,"51,239,855,233.00  $",0%,36.14,11.14,9.87,Analyze
KLAC,KLA-Tencor Corporation,Common stocks,Large cap,Information Technology,"50,920,131,409.00  $",1%,29.20,8.38,17.05,Analyze
DG,Dollar General Corp,Common stocks,Large cap,Consumer Discretionary,"50,819,727,125.00  $",1%,19.11,0.86,7.62,Analyze
ALGN,Align Technology Inc,Common stocks,Large cap,Health Care,"49,203,341,330.00  $",0%,27.33,19.90,15.01,Analyze
KHC,Kraft Heinz,Common stocks,Large cap,Consumer Staples,"49,049,347,455.00  $",4%,137.85,1.87,0.98,Analyze
F,Ford Motor Company,Common stocks,Large cap,Consumer Discretionary,"48,965,126,823.00  $",1%,-38.10,0.39,1.59,Analyze
MAR,Marriott International Inc,Common stocks,Large cap,Consumer Discretionary,"48,577,774,821.00  $",0%,-181.59,4.60,112.75,Analyze
PSA,Public Storage,REITs,Large cap,Real Estate,"48,077,664,234.00  $",3%,43.48,16.49,5.58,Analyze
IDXX,Idexx Laboratories Inc,Common stocks,Large cap,Health Care,"47,742,000,222.00  $",0%,82.10,17.64,75.57,Analyze
DOW,Dow Inc.,Common stocks,Large cap,Materials,"46,798,888,541.00  $",4%,24.04,1.15,3.38,Analyze
ROP,Roper Technologies Inc,Common stocks,Large cap,Industrials,"46,788,368,718.00  $",0%,48.88,8.47,4.43,Analyze
LVS,Las Vegas Sands Corp,Common stocks,Large cap,Consumer Discretionary,"46,395,573,073.00  $",0%,-24.04,15.33,17.65,Analyze
STZ,Constellation Brands Class A,Common stocks,Large cap,Consumer Staples,"46,092,085,008.00  $",1%,10.13,5.35,2.98,Analyze
ROST,Ross Stores Inc,Common stocks,Large cap,Consumer Discretionary,"46,063,501,126.00  $",0%,536.79,4.02,13.93,Analyze
JCI,Johnson Controls International Plc,Common stocks,Large cap,Industrials,"45,621,043,651.00  $",2%,49.19,2.07,2.57,Analyze
WBA,Walgreen Boots Alliance Inc,Common stocks,Large cap,Consumer Staples,"45,389,350,889.00  $",3%,-73.41,0.33,2.09,Analyze
IQV,"IQVIA Holdings, Inc.",Common stocks,Large cap,Health Care,"44,927,295,797.00  $",0%,110.60,3.74,7.60,Analyze
INFO,IHS Markit Ltd,Common stocks,Large cap,Industrials,"44,730,353,723.00  $",1%,83.35,10.34,5.13,Analyze
TEL,TE Connectivity Ltd,Common stocks,Large cap,Information Technology,"44,629,858,204.00  $",1%,41.71,2.30,4.59,Analyze
BAX,Baxter International Inc,Common stocks,Large cap,Health Care,"43,822,813,843.00  $",1%,39.87,3.75,5.06,Analyze
DISCA,Discovery Communications Inc Series A,Common stocks,Large cap,Communication Services,"43,745,440,429.00  $",0%,5.00,4.10,0.58,Analyze
DISCK,"Discovery Communications, Inc. - Series C",Common stocks,Large cap,Communication Services,"43,745,440,429.00  $",0%,8.75,4.10,0.99,Analyze
KMB,Kimberly Clark Corp,Common stocks,Large cap,Consumer Staples,"43,680,519,067.00  $",3%,19.22,2.31,84.45,Analyze
AEP,American Electric Power Inc,Common stocks,Large cap,Utilities,"43,578,234,880.00  $",2%,19.01,2.82,2.07,Analyze
EXC,Exelon Corp,Common stocks,Large cap,Utilities,"43,504,892,137.00  $",3%,22.20,1.32,1.34,Analyze
HPQ,HP Inc,Common stocks,Large cap,Information Technology,"42,920,383,532.00  $",2%,13.23,0.74,-13.23,Analyze
LHX,"L3Harris Technologies, Inc.",Common stocks,Large cap,Industrials,"42,702,179,895.00  $",2%,37.66,1.59,2.03,Analyze
BK,Bank Of New York Mellon Corp,Common stocks,Large cap,Financials,"42,575,991,247.00  $",3%,12.92,2.84,0.94,Analyze
SYY,Sysco Corp,Common stocks,Large cap,Consumer Staples,"42,512,212,648.00  $",2%,-125.88,0.93,29.78,Analyze
MCHP,Microchip Technology Inc,Common stocks,Large cap,Information Technology,"42,406,074,427.00  $",1%,124.91,8.00,7.86,Analyze
CTSH,Cognizant Technology Solutions,Common stocks,Large cap,Information Technology,"42,250,866,226.00  $",1%,30.44,2.54,3.91,Analyze
EBAY,Ebay Inc,Common stocks,Large cap,Consumer Discretionary,"42,033,851,579.00  $",1%,7.49,3.92,11.92,Analyze
EOG,EOG Resources Inc,Common stocks,Large cap,Energy,"41,835,793,019.00  $",2%,-72.38,4.24,2.16,Analyze
AIG,American International Group Inc,Common stocks,Large cap,Financials,"41,771,971,794.00  $",3%,-6.96,0.95,0.63,Analyze
DLR,"Digital Realty Trust, Inc",REITs,Large cap,Real Estate,"41,622,422,084.00  $",3%,157.24,10.66,2.34,Analyze
A,Agilent Technologies Inc,Common stocks,Large cap,Health Care,"41,585,116,847.00  $",1%,50.71,7.52,8.55,Analyze
TT,Trane Technologies plc,Common stocks,Large cap,Industrials,"41,557,123,344.00  $",1%,48.77,3.34,6.49,Analyze
CMG,Chipotle Mexican Grill Inc,Common stocks,Large cap,Consumer Discretionary,"41,396,345,049.00  $",0%,102.35,6.55,19.83,Analyze
EA,Electronic Arts Inc,Common stocks,Large cap,Communication Services,"41,262,829,833.00  $",0%,35.13,7.28,5.20,Analyze
PH,Parker-Hannifin Corp,Common stocks,Large cap,Industrials,"41,246,595,464.00  $",1%,28.76,3.05,5.79,Analyze
DD,"DuPont de Nemours, Inc.",Common stocks,Large cap,Materials,"41,201,207,195.00  $",2%,-13.96,2.02,1.07,Analyze
APH,Amphenol Corp,Common stocks,Large cap,Information Technology,"40,912,104,520.00  $",1%,33.63,4.76,7.52,Analyze
SRE,Sempra Energy,Common stocks,Large cap,Utilities,"40,844,105,738.00  $",3%,10.85,3.59,1.75,Analyze
PPG,PPG Industries Inc,Common stocks,Large cap,Materials,"40,834,213,759.00  $",1%,34.26,2.85,7.01,Analyze
DXCM,Dexcom Inc,Common stocks,Large cap,Health Care,"40,780,864,114.00  $",0%,83.42,21.17,22.54,Analyze
TROW,T Rowe Price Group Inc,Common stocks,Large cap,Financials,"40,774,994,969.00  $",2%,17.26,6.57,5.32,Analyze
MSCI,MSCI Inc,Common stocks,Large cap,Financials,"40,350,439,898.00  $",1%,66.55,23.80,-90.37,Analyze
BIIB,Biogen Inc,Common stocks,Large cap,Health Care,"40,256,834,603.00  $",0%,13.38,3.19,3.77,Analyze
SPG,"Simon Property Group, Inc",REITs,Large cap,Real Estate,"40,156,245,881.00  $",4%,36.42,8.72,13.29,Analyze
APTV,Aptiv Plc,Common stocks,Large cap,Consumer Discretionary,"39,679,589,906.00  $",0%,22.46,3.04,5.03,Analyze
PRU,Prudential Financial Inc,Common stocks,Large cap,Financials,"39,264,814,262.00  $",4%,-105.53,0.69,0.59,Analyze
CARR,Carrier Global Corporation,Common stocks,Large cap,Industrials,"39,082,986,744.00  $",1%,19.51,2.24,6.19,Analyze
TRV,Travelers Companies Inc,Common stocks,Large cap,Financials,"39,027,409,438.00  $",2%,13.67,1.21,1.37,Analyze
KMI,Kinder Morgan Inc,Common stocks,Large cap,Energy,"38,497,903,911.00  $",6%,21.53,2.79,1.23,Analyze
SNPS,Synopsys Inc,Common stocks,Large cap,Information Technology,"38,352,324,875.00  $",0%,53.00,10.04,7.85,Analyze
ALL,Allstate Corp,Common stocks,Large cap,Financials,"37,794,992,607.00  $",2%,6.89,1.15,1.25,Analyze
CMI,Cummins Inc,Common stocks,Large cap,Industrials,"37,783,560,184.00  $",2%,20.92,2.37,4.64,Analyze
XEL,Xcel Energy Inc,Common stocks,Large cap,Utilities,"37,665,236,910.00  $",2%,25.50,3.27,2.58,Analyze
ORLY,Oreilly Automotive Inc,Common stocks,Large cap,Consumer Discretionary,"37,236,454,653.00  $",0%,21.10,3.21,263.64,Analyze
CDNS,Cadence Design Systems Inc,Common stocks,Large cap,Information technology,"36,939,678,750.00  $",0%,56.72,7.82,14.59,Analyze
GIS,General Mills Inc,Common stocks,Large cap,Consumer Staples,"36,927,660,625.00  $",3%,14.55,1.98,4.17,Analyze
ALXN,Alexion Pharmaceuticals Inc,Common stocks,Large cap,Health Care,"36,905,660,961.00  $",0%,61.04,6.08,3.16,Analyze
LUV,Southwest Airlines,Common stocks,Large cap,Industrials,"36,896,740,858.00  $",0%,-12.75,5.37,4.02,Analyze
AFL,Aflac Inc,Common stocks,Large cap,Financials,"36,807,236,351.00  $",2%,7.70,1.66,1.10,Analyze
CTAS,Cintas Corp,Common stocks,Large cap,Industrials,"36,776,241,544.00  $",1%,36.70,5.33,9.50,Analyze
ZBH,Zimmer Biomet Holdings Inc,Common stocks,Large cap,Health Care,"36,736,630,823.00  $",1%,-267.71,7.43,3.05,Analyze
SLB,Schlumberger Nv,Common stocks,Large cap,Energy,"36,606,566,861.00  $",2%,-13.46,1.71,2.95,Analyze
CTVA,"Corteva, Inc.",Common stocks,Large cap,Materials,"36,409,768,554.00  $",1%,53.50,2.56,1.47,Analyze
DHI,D R Horton Inc,Common stocks,Large cap,Consumer Discretionary,"36,257,433,146.00  $",1%,11.31,1.96,2.78,Analyze
